query_id	ndcg10	recall10	recall20	recall100	recall300	recall1000	mrr10	precision5	precision10	allGoldInTop10	map	rPrecision	rbpResidual
hu-001	0.3191	0.5000	0.5000	0.5000			0.2500	0.4000	0.2000	0.0000	0.1625	0.2500	0.8157
hu-002	1.0000	1.0000	1.0000	1.0000			1.0000	0.6000	0.3000	1.0000	1.0000	1.0000	0.5120
hu-003	0.8048	0.7500	0.7500	0.7500			1.0000	0.6000	0.3000	0.0000	0.6875	0.7500	0.5376
hu-004	0.5856	0.5000	0.7500	0.7500			1.0000	0.4000	0.2000	0.0000	0.4561	0.5000	0.6684
hu-005	0.1681	0.2500	0.2500	0.2500			0.2500	0.2000	0.1000	0.0000	0.0625	0.2500	0.8976
hu-006	0.3973	0.5000	0.7500	1.0000			0.5000	0.4000	0.2000	0.0000	0.3020	0.2500	0.7492
hu-007	0.9494	1.0000	1.0000	1.0000			1.0000	0.6000	0.4000	1.0000	0.8611	0.7500	0.4784
hu-008	0.8358	0.8000	1.0000	1.0000			1.0000	0.6000	0.4000	0.0000	0.7857	0.6000	0.4486
hu-009	0.6596	0.7500	0.7500	0.7500			1.0000	0.2000	0.3000	0.0000	0.4405	0.2500	0.6820
hu-010	0.2566	0.5000	0.7500	1.0000			0.1667	0.0000	0.2000	0.0000	0.1753	0.0000	0.8937
hu-011	0.6934	1.0000	1.0000	1.0000			0.5000	0.4000	0.2000	1.0000	0.5833	0.5000	0.7120
hu-012	0.8688	0.8000	0.8000	1.0000			1.0000	0.8000	0.4000	0.0000	0.8182	0.8000	0.4096
hu-013	0.7654	0.6667	1.0000	1.0000			1.0000	0.4000	0.2000	0.0000	0.7436	0.6667	0.6263
hu-014	0.9838	1.0000	1.0000	1.0000			1.0000	0.8000	0.6000	1.0000	0.9484	0.8333	0.2916
hu-015	1.0000	1.0000	1.0000	1.0000			1.0000	0.2000	0.1000	1.0000	1.0000	1.0000	0.8000
hu-016	1.0000	1.0000	1.0000	1.0000			1.0000	0.4000	0.2000	1.0000	1.0000	1.0000	0.6400
hu-017	0.9197	1.0000	1.0000	1.0000			1.0000	0.4000	0.2000	1.0000	0.8333	0.5000	0.6720
hu-018	0.7708	0.8333	1.0000	1.0000			1.0000	0.6000	0.5000	0.0000	0.6343	0.5000	0.4896
hu-019	1.0000	1.0000	1.0000	1.0000			1.0000	1.0000	0.5000	1.0000	1.0000	1.0000	0.3277
hu-020	0.8855	1.0000	1.0000	1.0000			1.0000	0.6000	0.3000	1.0000	0.7556	0.6667	0.5901
hu-021	0.9829	1.0000	1.0000	1.0000			1.0000	0.8000	0.4000	1.0000	0.9500	0.7500	0.4301
hu-022	0.9620	1.0000	1.0000	1.0000			1.0000	0.6000	0.4000	1.0000	0.8929	0.7500	0.4596
hu-023	0.7537	0.7500	0.7500	0.7500			1.0000	0.6000	0.3000	0.0000	0.6042	0.7500	0.5696
hu-024	0.7246	0.7500	0.7500	0.7500			1.0000	0.4000	0.3000	0.0000	0.5417	0.5000	0.6065
hu-025	0.9197	1.0000	1.0000	1.0000			1.0000	0.4000	0.2000	1.0000	0.8333	0.5000	0.6720
hu-026	0.8319	0.7500	0.7500	0.7500			1.0000	0.6000	0.3000	0.0000	0.7500	0.7500	0.5120
hu-027	1.0000	1.0000	1.0000	1.0000			1.0000	0.6000	0.3000	1.0000	1.0000	1.0000	0.5120
hu-028	0.3008	0.4000	0.6000	0.6000			0.3333	0.4000	0.2000	0.0000	0.1895	0.4000	0.7791
hu-029	0.9059	1.0000	1.0000	1.0000			1.0000	0.4000	0.4000	1.0000	0.7679	0.5000	0.5220
hu-030	0.8327	1.0000	1.0000	1.0000			1.0000	0.6000	0.4000	1.0000	0.6500	0.5000	0.5737
hu-031	0.7877	0.7500	0.7500	0.7500			1.0000	0.6000	0.3000	0.0000	0.6500	0.5000	0.5581
