query_id	ndcg10	recall10	recall20	recall100	recall300	recall1000	mrr10	precision5	precision10	allGoldInTop10	map	rPrecision	rbpResidual	distinctDocs5	distinctDocs10	sameDocRuns10	axis	domain	type
hu-001	0.1128	0.2500	0.2500	0.5000			0.1000	0.0000	0.1000	0.0000	0.0313	0.0000	0.9732	5	10	10	inflected-form		
hu-002	0.9469	1.0000	1.0000	1.0000			1.0000	0.6000	0.3000	1.0000	0.8667	0.6667	0.5581	5	10	10	inflected-form		
hu-003	0.7757	0.7500	0.7500	0.7500			1.0000	0.4000	0.3000	0.0000	0.6250	0.5000	0.5745	5	10	10	inflected-form		
hu-004	0.0000	0.0000	0.0000	0.7500			0.0000	0.0000	0.0000	0.0000	0.0341	0.0000	0.9990	5	10	10	inflected-form		
hu-005	0.0000	0.0000	0.0000	0.2500			0.0000	0.0000	0.0000	0.0000	0.0028	0.0000	1.0000	5	10	10	inflected-form		
hu-006	0.3342	0.5000	0.5000	1.0000			0.3333	0.2000	0.2000	0.0000	0.2041	0.2500	0.8064	5	10	10	inflected-form		
hu-007	0.2913	0.5000	1.0000	1.0000			0.2500	0.2000	0.2000	0.0000	0.2452	0.2500	0.8359	5	10	10	inflected-form		
hu-008	0.6548	0.6000	0.6000	1.0000			1.0000	0.6000	0.3000	0.0000	0.5249	0.6000	0.5693	5	10	10	inflected-form		
hu-009	0.3904	0.2500	0.2500	0.7500			1.0000	0.2000	0.1000	0.0000	0.2749	0.2500	0.7999	5	10	10	inflected-form		
hu-010	0.1952	0.2500	0.2500	1.0000			0.3333	0.2000	0.1000	0.0000	0.1178	0.2500	0.8719	5	10	10	inflected-form		
hu-011	0.1846	0.5000	1.0000	1.0000			0.1111	0.0000	0.1000	0.0000	0.1144	0.0000	0.9608	5	10	10	exact-keyword		knowledge
hu-012	0.6552	0.6000	0.8000	1.0000			1.0000	0.4000	0.3000	0.0000	0.5417	0.4000	0.5954	5	10	10	exact-keyword		
hu-013	0.2346	0.3333	1.0000	1.0000			0.3333	0.2000	0.1000	0.0000	0.2212	0.3333	0.8526	5	10	10	exact-keyword		
hu-014	0.5176	0.6667	0.8333	1.0000			0.5000	0.4000	0.4000	0.0000	0.4372	0.3333	0.6208	5	10	10	exact-keyword		
hu-015	1.0000	1.0000	1.0000	1.0000			1.0000	0.2000	0.1000	1.0000	1.0000	1.0000	0.8000	5	10	10	rare-technical-token		
hu-016	0.6131	0.5000	1.0000	1.0000			1.0000	0.2000	0.1000	0.0000	0.5769	0.5000	0.7863	5	10	10	rare-technical-token		
hu-017	0.9197	1.0000	1.0000	1.0000			1.0000	0.4000	0.2000	1.0000	0.8333	0.5000	0.6720	5	10	10	rare-technical-token		
hu-018	0.8025	0.8333	1.0000	1.0000			1.0000	0.6000	0.5000	0.0000	0.6926	0.5000	0.4611	5	10	10	rare-technical-token		
hu-019	0.5531	0.4000	0.8000	1.0000			1.0000	0.4000	0.2000	0.0000	0.5514	0.4000	0.6083	5	10	10	multi-word-phrase	docs	
hu-020	0.8711	1.0000	1.0000	1.0000			1.0000	0.4000	0.3000	1.0000	0.7222	0.6667	0.6065	5	10	10	multi-word-phrase		
hu-021	0.8928	1.0000	1.0000	1.0000			1.0000	0.6000	0.4000	1.0000	0.7708	0.7500	0.5041	5	10	10	multi-word-phrase		
hu-022	0.3591	0.5000	0.5000	1.0000			0.5000	0.2000	0.2000	0.0000	0.2263	0.2500	0.8122	5	10	10	multi-word-phrase		
hu-023	0.2463	0.2500	0.2500	0.7500			0.5000	0.2000	0.1000	0.0000	0.1391	0.2500	0.8400	5	10	10	synonym		
hu-024	0.3973	0.5000	0.5000	0.7500			0.5000	0.4000	0.2000	0.0000	0.2329	0.2500	0.7581	5	10	10	synonym		
hu-025	0.5110	1.0000	1.0000	1.0000			0.3333	0.2000	0.2000	1.0000	0.3095	0.0000	0.8196	5	10	10	synonym		
hu-026	0.1510	0.2500	0.5000	0.7500			0.2000	0.2000	0.1000	0.0000	0.1137	0.0000	0.9008	5	10	10	domain-filtered	docs	knowledge
hu-027	0.9325	1.0000	1.0000	1.0000			1.0000	0.4000	0.3000	1.0000	0.8333	0.6667	0.5745	5	10	10	domain-filtered	docs	knowledge
hu-028	0.0000	0.0000	0.0000	0.6000			0.0000	0.0000	0.0000	0.0000	0.0239	0.0000	0.9997	5	10	10	production-shaped-long-form		
hu-029	0.3462	0.5000	0.7500	1.0000			0.3333	0.4000	0.2000	0.0000	0.2450	0.2500	0.7865	5	10	10	production-shaped-long-form		
hu-030	0.5646	0.7500	0.7500	1.0000			0.5000	0.4000	0.3000	0.0000	0.4239	0.5000	0.6693	5	10	10	production-shaped-long-form		
hu-031	0.6367	0.5000	0.5000	0.7500			1.0000	0.4000	0.2000	0.0000	0.5357	0.5000	0.6377	5	10	10	production-shaped-long-form		
