query_id	ndcg10	recall10	recall20	recall100	recall300	recall1000	mrr10	precision5	precision10	allGoldInTop10	map	rPrecision	rbpResidual	distinctDocs5	distinctDocs10	sameDocRuns10	axis	domain	type
q-001	0.7720	0.8000	1.0000	1.0000			1.0000	0.4000	0.4000	0.0000	0.6633	0.4000	0.5304	5	10	10	exact-keyword		
q-002	0.1672	0.3333	0.6667	0.6667			0.1667	0.0000	0.1000	0.0000	0.1111	0.0000	0.9173	5	10	10	exact-keyword		
q-003	0.2346	0.3333	1.0000	1.0000			0.3333	0.2000	0.1000	0.0000	0.2254	0.3333	0.8522	5	10	10	exact-keyword		
q-004	0.9318	1.0000	1.0000	1.0000			1.0000	0.6000	0.5000	1.0000	0.8111	0.6000	0.4365	5	10	10	exact-keyword		
q-005	0.4685	1.0000	1.0000	1.0000			0.2500	0.2000	0.2000	1.0000	0.2679	0.0000	0.8452	5	10	10	exact-keyword		
q-006	0.6526	0.7500	1.0000	1.0000			1.0000	0.2000	0.3000	0.0000	0.5040	0.2500	0.6788	5	10	10	exact-keyword		
q-007	0.9060	1.0000	1.0000	1.0000			1.0000	0.6000	0.3000	1.0000	0.8056	0.6667	0.5696	5			exact-keyword		
q-008	1.0000	1.0000	1.0000	1.0000			1.0000	0.2000	0.1000	1.0000	1.0000	1.0000	0.8000				exact-keyword		
q-009	1.0000	1.0000	1.0000	1.0000			1.0000	0.2000	0.1000	1.0000	1.0000	1.0000	0.8000	5			exact-keyword		
q-010	0.7737	1.0000	1.0000	1.0000			1.0000	0.2000	0.3000	1.0000	0.5536	0.3333	0.7056	5	10	10	inflected-form		
q-011	0.8711	1.0000	1.0000	1.0000			1.0000	0.4000	0.3000	1.0000	0.7222	0.6667	0.6065	5	10	10	inflected-form		
q-012	0.8180	1.0000	1.0000	1.0000			1.0000	0.4000	0.3000	1.0000	0.6333	0.3333	0.6525	5	10	10	inflected-form		
q-013	0.6714	0.6667	1.0000	1.0000			1.0000	0.4000	0.2000	0.0000	0.5556	0.3333	0.6931	5	10	10	inflected-form		
q-014	0.7039	0.6667	0.6667	0.6667			1.0000	0.4000	0.2000	0.0000	0.5556	0.6667	0.6720	5	10	10	inflected-form		
q-015	0.4416	1.0000	1.0000	1.0000			0.2000	0.2000	0.2000	1.0000	0.2429	0.0000	0.8657	5	10	10	inflected-form		
q-016	0.8772	1.0000	1.0000	1.0000			1.0000	0.4000	0.2000	1.0000	0.7500	0.5000	0.6976	5	10	10	multi-word-phrase		
q-017	0.1846	0.5000	0.5000	1.0000			0.1111	0.0000	0.1000	0.0000	0.0940	0.0000	0.9657	5	10	10	multi-word-phrase		
q-018	0.6367	0.5000	1.0000	1.0000			1.0000	0.4000	0.2000	0.0000	0.6451	0.5000	0.6048	5	10	10	multi-word-phrase		
q-019	0.3434	0.6667	0.6667	1.0000			0.2500	0.2000	0.2000	0.0000	0.1753	0.0000	0.8640	5	10	10	multi-word-phrase		
q-020	0.3869	0.5000	0.5000	0.5000			0.5000	0.2000	0.1000	0.0000	0.2500	0.5000	0.8400	5	10	10	multi-word-phrase		
q-021	0.2901	0.5000	0.5000	1.0000			0.2000	0.2000	0.2000	0.0000	0.1822	0.0000	0.8502	5	10	10	multi-word-phrase		
q-022	0.6445	1.0000	1.0000	1.0000			0.3333	0.6000	0.4000	1.0000	0.5012	0.5000	0.6353	5	10	10	multi-word-phrase		
