query_id	ndcg10	recall10	recall20	recall100	recall300	recall1000	mrr10	precision5	precision10	allGoldInTop10	map	rPrecision	rbpResidual	distinctDocs5	distinctDocs10	sameDocRuns10	axis	domain	type
q-001	0.7720	0.8000	1.0000	1.0000			1.0000	0.4000	0.4000	0.0000	0.6709	0.4000	0.5261	5	10	10	exact-keyword		
q-002	0.1672	0.3333	0.6667	0.6667			0.1667	0.0000	0.1000	0.0000	0.1111	0.0000	0.9173	5	10	10	exact-keyword		
q-003	0.2346	0.3333	1.0000	1.0000			0.3333	0.2000	0.1000	0.0000	0.2116	0.3333	0.8593	5	10	10	exact-keyword		
q-004	0.9318	1.0000	1.0000	1.0000			1.0000	0.6000	0.5000	1.0000	0.8111	0.6000	0.4365	5	10	10	exact-keyword		
q-005	0.4685	1.0000	1.0000	1.0000			0.2500	0.2000	0.2000	1.0000	0.2679	0.0000	0.8452	5	10	10	exact-keyword		
q-006	0.6526	0.7500	1.0000	1.0000			1.0000	0.2000	0.3000	0.0000	0.4985	0.2500	0.6815	5	10	10	exact-keyword		
q-007	0.9060	1.0000	1.0000	1.0000			1.0000	0.6000	0.3000	1.0000	0.8056	0.6667	0.5696	5			exact-keyword		
q-008	1.0000	1.0000	1.0000	1.0000			1.0000	0.2000	0.1000	1.0000	1.0000	1.0000	0.8000				exact-keyword		
q-009	1.0000	1.0000	1.0000	1.0000			1.0000	0.2000	0.1000	1.0000	1.0000	1.0000	0.8000	5			exact-keyword		
q-010	0.7737	1.0000	1.0000	1.0000			1.0000	0.2000	0.3000	1.0000	0.5536	0.3333	0.7056	5	10	10	inflected-form		
q-011	0.8855	1.0000	1.0000	1.0000			1.0000	0.6000	0.3000	1.0000	0.7556	0.6667	0.5901	5	10	10	inflected-form		
q-012	0.8194	1.0000	1.0000	1.0000			1.0000	0.4000	0.3000	1.0000	0.6250	0.3333	0.6557	5	10	10	inflected-form		
q-013	0.6714	0.6667	1.0000	1.0000			1.0000	0.4000	0.2000	0.0000	0.5714	0.3333	0.6866	5	10	10	inflected-form		
q-014	0.7039	0.6667	0.6667	0.6667			1.0000	0.4000	0.2000	0.0000	0.5556	0.6667	0.6720	5	10	10	inflected-form		
q-015	0.4416	1.0000	1.0000	1.0000			0.2000	0.2000	0.2000	1.0000	0.2429	0.0000	0.8657	5	10	10	inflected-form		
q-016	0.9197	1.0000	1.0000	1.0000			1.0000	0.4000	0.2000	1.0000	0.8333	0.5000	0.6720	5	10	10	multi-word-phrase		
q-017	0.2184	0.5000	0.5000	1.0000			0.1667	0.0000	0.1000	0.0000	0.1029	0.0000	0.9345	5	10	10	multi-word-phrase		
q-018	0.7542	0.7500	1.0000	1.0000			1.0000	0.4000	0.3000	0.0000	0.6667	0.5000	0.5893	5	10	10	multi-word-phrase		
q-019	0.2837	0.6667	0.6667	1.0000			0.1250	0.0000	0.2000	0.0000	0.1245	0.0000	0.9312	5	10	10	multi-word-phrase		
q-020	0.3869	0.5000	0.5000	0.5000			0.5000	0.2000	0.1000	0.0000	0.2500	0.5000	0.8400	5	10	10	multi-word-phrase		
q-021	0.2983	0.5000	0.7500	1.0000			0.2500	0.2000	0.2000	0.0000	0.1951	0.2500	0.8416	5	10	10	multi-word-phrase		
q-022	0.6766	1.0000	1.0000	1.0000			0.5000	0.4000	0.4000	1.0000	0.5000	0.5000	0.6301	5	10	10	multi-word-phrase		
q-023	0.8180	1.0000	1.0000	1.0000			1.0000	0.4000	0.3000	1.0000	0.6333	0.3333	0.6525	5	10	10	multi-word-phrase		
q-024	0.0000	0.0000	0.0000	0.0000			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	5	10	10	rare-technical-token		
q-025	0.0000	0.0000	0.0000	0.5000			0.0000	0.0000	0.0000	0.0000	0.0135	0.0000	0.9999	5	10	10	rare-technical-token		
q-026	0.4852	0.4000	0.6000	1.0000			1.0000	0.4000	0.2000	0.0000	0.3930	0.4000	0.6912	5	10	10	rare-technical-token		
q-027	0.1128	0.2500	1.0000	1.0000			0.1000	0.0000	0.1000	0.0000	0.1701	0.0000	0.9415	5	10	10	rare-technical-token		
q-028	0.2519	0.5000	0.7500	1.0000			0.1667	0.0000	0.2000	0.0000	0.1929	0.0000	0.8943	5	10	10	rare-technical-token		
q-029	0.3904	0.2500	0.5000	0.7500			1.0000	0.2000	0.1000	0.0000	0.3075	0.2500	0.7910	5	10	10	rare-technical-token		
q-030	0.9060	1.0000	1.0000	1.0000			1.0000	0.6000	0.3000	1.0000	0.8056	0.6667	0.5696	5			rare-technical-token		
