query_id	ndcg10	recall10	recall20	recall100	recall300	recall1000	mrr10	precision5	precision10	allGoldInTop10	map	rPrecision	rbpResidual	distinctDocs5	distinctDocs10	sameDocRuns10	axis	domain	type
q-001	0.7756	0.8000	0.8000	1.0000			1.0000	0.6000	0.4000	0.0000	0.6567	0.6000	0.5031	5	10	10	exact-keyword		
q-002	0.6257	0.6667	0.6667	0.6667			1.0000	0.2000	0.2000	0.0000	0.4286	0.3333	0.7476	5	10	10	exact-keyword		
q-003	0.9060	1.0000	1.0000	1.0000			1.0000	0.6000	0.3000	1.0000	0.8056	0.6667	0.5696	5	10	10	exact-keyword		
q-004	0.9668	1.0000	1.0000	1.0000			1.0000	0.8000	0.5000	1.0000	0.9000	0.8000	0.3828	5	10	10	exact-keyword		
q-005	0.8316	1.0000	1.0000	1.0000			1.0000	0.2000	0.2000	1.0000	0.6667	0.5000	0.7345	5	10	10	exact-keyword		
q-006	0.7724	1.0000	1.0000	1.0000			1.0000	0.2000	0.4000	1.0000	0.5405	0.2500	0.6552	5	10	10	exact-keyword		
q-007	0.9675	1.0000	1.0000	1.0000			1.0000	0.6000	0.3000	1.0000	0.9167	0.6667	0.5376	5			exact-keyword		
q-008	1.0000	1.0000	1.0000	1.0000			1.0000	0.2000	0.1000	1.0000	1.0000	1.0000	0.8000				exact-keyword		
q-009	1.0000	1.0000	1.0000	1.0000			1.0000	0.2000	0.1000	1.0000	1.0000	1.0000	0.8000	5			exact-keyword		
q-010	0.7654	0.6667	0.6667	1.0000			1.0000	0.4000	0.2000	0.0000	0.6923	0.6667	0.6400	5	10	10	inflected-form		
q-011	0.7039	0.6667	0.6667	1.0000			1.0000	0.4000	0.2000	0.0000	0.5850	0.6667	0.6719	5	10	10	inflected-form		
q-012	0.9010	1.0000	1.0000	1.0000			1.0000	0.4000	0.3000	1.0000	0.7667	0.6667	0.6132	5	10	10	inflected-form		
q-013	0.8711	1.0000	1.0000	1.0000			1.0000	0.4000	0.3000	1.0000	0.7222	0.6667	0.6065	5	10	10	inflected-form		
q-014	0.5307	0.6667	0.6667	0.6667			0.5000	0.4000	0.2000	0.0000	0.3889	0.6667	0.7120	5	10	10	inflected-form		
q-015	0.6934	1.0000	1.0000	1.0000			0.5000	0.4000	0.2000	1.0000	0.5833	0.5000	0.7120	5	10	10	inflected-form		
q-016	0.6509	1.0000	1.0000	1.0000			0.5000	0.4000	0.2000	1.0000	0.5000	0.5000	0.7376	5	10	10	multi-word-phrase		
q-017	0.6131	0.5000	0.5000	1.0000			1.0000	0.2000	0.1000	0.0000	0.5476	0.5000	0.7977	5	10	10	multi-word-phrase		
q-018	0.8670	1.0000	1.0000	1.0000			1.0000	0.4000	0.4000	1.0000	0.6833	0.5000	0.5796	5	10	10	multi-word-phrase		
q-019	0.4317	0.6667	0.6667	1.0000			0.5000	0.2000	0.2000	0.0000	0.2611	0.3333	0.8131	5	10	10	multi-word-phrase		
q-020	0.3869	0.5000	0.5000	0.5000			0.5000	0.2000	0.1000	0.0000	0.2500	0.5000	0.8400	5	10	10	multi-word-phrase		
q-021	0.3904	0.2500	0.5000	1.0000			1.0000	0.2000	0.1000	0.0000	0.3514	0.2500	0.7874	5	10	10	multi-word-phrase		
q-022	0.9709	1.0000	1.0000	1.0000			1.0000	0.6000	0.4000	1.0000	0.9167	0.7500	0.4465	5	10	10	multi-word-phrase		
q-023	0.8520	1.0000	1.0000	1.0000			1.0000	0.4000	0.3000	1.0000	0.6806	0.6667	0.6301	5	10	10	multi-word-phrase		
q-024	0.0000	0.0000	0.0000	0.0000			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	5	10	10	rare-technical-token		
q-025	0.0000	0.0000	0.5000	0.5000			0.0000	0.0000	0.0000	0.0000	0.0357	0.0000	0.9890	5	10	10	rare-technical-token		
q-026	0.4287	0.6000	0.6000	1.0000			0.3333	0.4000	0.3000	0.0000	0.2971	0.4000	0.7169	5	10	10	rare-technical-token		
q-027	0.2810	0.5000	1.0000	1.0000			0.2500	0.2000	0.2000	0.0000	0.2216	0.2500	0.8553	5	10	10	rare-technical-token		
q-028	0.5590	0.7500	0.7500	1.0000			0.5000	0.4000	0.3000	0.0000	0.4185	0.5000	0.6770	5	10	10	rare-technical-token		
q-029	0.5079	0.5000	0.7500	0.7500			1.0000	0.2000	0.2000	0.0000	0.3737	0.2500	0.7450	5	10	10	rare-technical-token		
q-030	0.9469	1.0000	1.0000	1.0000			1.0000	0.6000	0.3000	1.0000	0.8667	0.6667	0.5581	5			rare-technical-token		
q-031	0.9268	1.0000	1.0000	1.0000			1.0000	0.6000	0.4000	1.0000	0.8167	0.5000	0.4925	5			rare-technical-token		
q-032	0.8772	1.0000	1.0000	1.0000			1.0000	0.4000	0.2000	1.0000	0.7500	0.5000	0.6976	5	10	10	rare-technical-token		
q-033	0.4693	0.3333	0.3333	0.3333			1.0000	0.2000	0.1000	0.0000	0.3333	0.3333	0.8000	5	10	10	synonym		
q-034	0.0000	0.0000	1.0000	1.0000			0.0000	0.0000	0.0000	0.0000	0.0667	0.0000	0.9912	5	10	10	synonym		
q-035	0.5000	1.0000	1.0000	1.0000			0.3333	0.2000	0.1000	1.0000	0.3333	0.0000	0.8720	5	10	10	synonym		
q-036	0.3066	0.5000	1.0000	1.0000			0.3333	0.2000	0.1000	0.0000	0.2500	0.0000	0.8548	5	10	10	synonym		
q-037	0.2641	0.5000	0.5000	0.5000			0.2500	0.2000	0.1000	0.0000	0.1250	0.0000	0.8976	5	10	10	synonym		
q-038	0.4693	0.3333	0.3333	0.3333			1.0000	0.2000	0.1000	0.0000	0.3333	0.3333	0.8000	5	10	10	synonym		
q-039	0.9469	1.0000	1.0000	1.0000			1.0000	0.6000	0.3000	1.0000	0.8667	0.6667	0.5581	5	10	10	domain-filtered	runner	
q-040	1.0000	1.0000	1.0000	1.0000			1.0000	0.2000	0.1000	1.0000	1.0000	1.0000	0.8000	5	10	10	domain-filtered	runner	
q-041	0.2346	0.3333	0.3333	1.0000			0.3333	0.2000	0.1000	0.0000	0.1734	0.3333	0.8704	5	10	10	domain-filtered	standards	
q-042	0.7929	1.0000	1.0000	1.0000			1.0000	0.2000	0.3000	1.0000	0.5873	0.3333	0.6820	5	10	10	domain-filtered	standards	
q-043	0.4693	0.3333	0.3333	1.0000			1.0000	0.2000	0.1000	0.0000	0.3727	0.3333	0.7999	5	10	10	domain-filtered	adr	
q-044	0.4693	0.3333	0.6667	1.0000			1.0000	0.2000	0.1000	0.0000	0.4132	0.3333	0.7888	5	10	10	domain-filtered	adr	
q-045	0.7913	0.8000	1.0000	1.0000			1.0000	0.6000	0.4000	0.0000	0.6969	0.6000	0.5024	5	10	10	production-shaped-long-form		
