query_id	ndcg10	recall10	recall20	recall100	recall300	recall1000	mrr10	precision5	precision10	allGoldInTop10	map	rPrecision	rbpResidual
q-001	0.9270	1.0000	1.0000	1.0000			1.0000	0.6000	0.5000	1.0000	0.8083	0.6000	0.4301
q-002	0.6714	0.6667	0.6667	0.6667			1.0000	0.4000	0.2000	0.0000	0.5000	0.3333	0.6976
q-003	0.0000	0.0000	1.0000	1.0000			0.0000	0.0000	0.0000	0.0000	0.1173	0.0000	0.9711
q-004	0.9338	1.0000	1.0000	1.0000			1.0000	0.6000	0.5000	1.0000	0.8143	0.6000	0.4327
q-005	0.5013	1.0000	1.0000	1.0000			0.2500	0.4000	0.2000	1.0000	0.3250	0.0000	0.8157
q-006	0.8928	1.0000	1.0000	1.0000			1.0000	0.6000	0.4000	1.0000	0.7708	0.7500	0.5041
q-007	0.8855	1.0000	1.0000	1.0000			1.0000	0.6000	0.3000	1.0000	0.7556	0.6667	0.5901
q-008	1.0000	1.0000	1.0000	1.0000			1.0000	0.2000	0.1000	1.0000	1.0000	1.0000	0.8000
q-009	1.0000	1.0000	1.0000	1.0000			1.0000	0.2000	0.1000	1.0000	1.0000	1.0000	0.8000
q-010	0.6714	0.6667	1.0000	1.0000			1.0000	0.4000	0.2000	0.0000	0.5909	0.3333	0.6761
q-011	0.8711	1.0000	1.0000	1.0000			1.0000	0.4000	0.3000	1.0000	0.7222	0.6667	0.6065
q-012	0.8385	1.0000	1.0000	1.0000			1.0000	0.4000	0.3000	1.0000	0.6667	0.3333	0.6321
q-013	0.6714	0.6667	1.0000	1.0000			1.0000	0.4000	0.2000	0.0000	0.5769	0.3333	0.6839
q-014	0.7039	0.6667	0.6667	0.6667			1.0000	0.4000	0.2000	0.0000	0.5556	0.6667	0.6720
q-015	0.4118	1.0000	1.0000	1.0000			0.1667	0.0000	0.2000	1.0000	0.2083	0.0000	0.8925
q-016	0.9197	1.0000	1.0000	1.0000			1.0000	0.4000	0.2000	1.0000	0.8333	0.5000	0.6720
q-017	0.2372	0.5000	0.5000	1.0000			0.2000	0.2000	0.1000	0.0000	0.1278	0.0000	0.9180
q-018	0.6367	0.5000	0.7500	1.0000			1.0000	0.4000	0.2000	0.0000	0.5631	0.5000	0.6371
q-019	0.0000	0.0000	0.3333	0.6667			0.0000	0.0000	0.0000	0.0000	0.0474	0.0000	0.9932
q-020	0.3869	0.5000	0.5000	0.5000			0.5000	0.2000	0.1000	0.0000	0.2500	0.5000	0.8400
q-021	0.1510	0.2500	0.2500	0.7500			0.2000	0.2000	0.1000	0.0000	0.0828	0.0000	0.9158
q-022	0.7316	1.0000	1.0000	1.0000			0.5000	0.6000	0.4000	1.0000	0.6083	0.5000	0.5645
q-023	0.7929	1.0000	1.0000	1.0000			1.0000	0.2000	0.3000	1.0000	0.5873	0.3333	0.6820
q-024	0.0000	0.0000	0.0000	0.0000			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
q-025	0.0000	0.0000	0.0000	0.5000			0.0000	0.0000	0.0000	0.0000	0.0139	0.0000	0.9999
q-026	0.4600	0.4000	0.4000	1.0000			1.0000	0.2000	0.2000	0.0000	0.3159	0.2000	0.7340
q-027	0.0000	0.0000	1.0000	1.0000			0.0000	0.0000	0.0000	0.0000	0.1557	0.0000	0.9596
q-028	0.5805	0.7500	1.0000	1.0000			0.5000	0.4000	0.3000	0.0000	0.5000	0.5000	0.6293
q-029	0.3904	0.2500	0.5000	0.7500			1.0000	0.2000	0.1000	0.0000	0.3125	0.2500	0.7918
q-030	1.0000	1.0000	1.0000	1.0000			1.0000	0.6000	0.3000	1.0000	1.0000	1.0000	0.5120
q-031	0.8667	1.0000	1.0000	1.0000			1.0000	0.6000	0.4000	1.0000	0.7095	0.5000	0.5377
q-032	0.6131	0.5000	0.5000	1.0000			1.0000	0.2000	0.1000	0.0000	0.5385	0.5000	0.7992
q-033	0.2961	0.3333	0.3333	0.3333			0.5000	0.2000	0.1000	0.0000	0.1667	0.3333	0.8400
q-034	0.0000	0.0000	0.0000	1.0000			0.0000	0.0000	0.0000	0.0000	0.0313	0.0000	0.9998
q-035	0.3155	1.0000	1.0000	1.0000			0.1250	0.0000	0.1000	1.0000	0.1250	0.0000	0.9581
q-036	0.1846	0.5000	1.0000	1.0000			0.1111	0.0000	0.1000	0.0000	0.1082	0.0000	0.9628
q-037	0.0000	0.0000	0.0000	0.5000			0.0000	0.0000	0.0000	0.0000	0.0238	0.0000	0.9977
q-038	0.4693	0.3333	0.3333	0.3333			1.0000	0.2000	0.1000	0.0000	0.3333	0.3333	0.8000
q-039	0.3836	0.6667	1.0000	1.0000			0.2500	0.4000	0.2000	0.0000	0.2693	0.0000	0.8121
q-040	1.0000	1.0000	1.0000	1.0000			1.0000	0.2000	0.1000	1.0000	1.0000	1.0000	0.8000
q-041	0.4693	0.3333	0.3333	0.6667			1.0000	0.2000	0.1000	0.0000	0.3422	0.3333	0.8000
q-042	0.6714	0.6667	1.0000	1.0000			1.0000	0.4000	0.2000	0.0000	0.5714	0.3333	0.6866
q-043	0.4693	0.3333	0.3333	0.3333			1.0000	0.2000	0.1000	0.0000	0.3333	0.3333	0.8000
q-044	0.4693	0.3333	0.3333	1.0000			1.0000	0.2000	0.1000	0.0000	0.3731	0.3333	0.7998
q-045	0.6740	0.6000	0.8000	1.0000			1.0000	0.4000	0.3000	0.0000	0.6072	0.4000	0.5526
q-046	0.4035	0.3333	0.3333	0.5000			1.0000	0.2000	0.2000	0.0000	0.2315	0.1667	0.7472
q-047	0.4543	0.6250	0.7500	1.0000			0.2500	0.4000	0.5000	0.0000	0.4012	0.5000	0.6558
q-048	0.5026	0.3750	0.3750	0.5000			1.0000	0.4000	0.3000	0.0000	0.3257	0.3750	0.5744
q-049	0.9747	1.0000	1.0000	1.0000			1.0000	0.8000	0.5000	1.0000	0.9267	0.8000	0.3645
q-050	0.4125	0.2500	0.5000	0.7500			1.0000	0.4000	0.2000	0.0000	0.3345	0.2500	0.6271
q-051	0.3149	0.1429	0.2143	0.2143			1.0000	0.4000	0.2000	0.0000	0.1197	0.1429	0.6920
q-052	0.1413	0.3333	0.3333	1.0000			0.1111	0.0000	0.1000	0.0000	0.0795	0.0000	0.9663
q-053	0.1710	0.2500	0.2500	0.2500			0.2000	0.2000	0.2000	0.0000	0.0500	0.1250	0.8912
q-054	0.5912	1.0000	1.0000	1.0000			0.5000	0.2000	0.2000	1.0000	0.3929	0.5000	0.7876
q-055	0.2214	0.3333	0.3333	1.0000			0.2500	0.2000	0.2000	0.0000	0.1529	0.1667	0.8634
q-056	0.3511	0.1563	0.4688	0.9688			0.1667	0.0000	0.5000	0.0000	0.5882	0.6875	0.6766
q-057	0.2711	0.0536	0.1071	0.2143			0.3333	0.4000	0.3000	0.0000	0.0609	0.1786	0.7005
q-058	0.3590	0.0833	0.0833	0.1250			1.0000	0.4000	0.2000	0.0000	0.0856	0.0833	0.6400
q-059	0.3689	0.0833	0.1667	0.5278			1.0000	0.4000	0.3000	0.0000	0.1887	0.3611	0.6578
q-060	0.3689	0.0833	0.1667	0.5278			1.0000	0.4000	0.3000	0.0000	0.1887	0.3611	0.6578
